"","location_code","location_name","Location_Category_Description","primary_address_line_1","State_code","LONGITUDE","LATITUDE","NTA_Name","Principal_phone_number","fax_number","community_school_sup_name"
"1","K001","P.S. 001 The Bergen","Elementary","309 47 STREET","NY","-74.01142","40.648959","Sunset Park West","718-567-7661","718-567-9771","SKOP, ANITA"
"2","K002","Parkside Preparatory Academy","Junior High-Intermediate-Middle","655 PARKSIDE AVENUE","NY","-73.951575","40.656423","Prospect Lefferts Gardens-Wingate","718-462-6992","718-284-7717","ELLIS, CLARENCE"
"3","K003","P.S. 003 The Bedford Village","Elementary","50 JEFFERSON AVENUE","NY","-73.955219","40.682311","Clinton Hill","718-622-2960","718-623-3193","SAMUELS, KAMAR"
"4","K004","P.S. K004","Elementary","923 JEROME STREET","NY","-73.879276","40.6585","East New York","929-275-3937","718-927-3554","LOUISSAINT, KETLER"
"5","K005","P.S. 005 Dr. Ronald McNair","Elementary","820 HANCOCK STREET","NY","-73.92197","40.685241","Stuyvesant Heights","718-218-2444","718-218-2445","MARTIN, YOLANDA"
"6","K006","Norma Adams Clemons Academy","Elementary","43 SNYDER AVENUE","NY","-73.956279","40.648973","Erasmus","718-856-6560","718-856-7493","ELLIS, CLARENCE"
"7","K007","P.S. 007 Abraham Lincoln","Elementary","858 JAMAICA AVENUE","NY","-73.872983","40.689213","Cypress Hills-City Line","718-647-3600","718-827-4004","THOMAS MCBRYDE JR"
"8","K008","P.S. 008 Robert Fulton","K-8","37 HICKS STREET","NY","-73.992841","40.700709","Brooklyn Heights-Cobble Hill","718-834-6740","718-834-7690","SAMUELS, KAMAR"
"9","K009","P.S. 009 Teunis G. Bergen","Elementary","80 UNDERHILL AVENUE","NY","-73.966333","40.678554","Prospect Heights","718-638-3260","718-622-2961","SAMUELS, KAMAR"
"10","K010","Magnet School of Math, Science and Design Technolo","Elementary","511 7 AVENUE","NY","-73.985946","40.660912","Park Slope-Gowanus","718-965-1190","718-369-1736","SKOP, ANITA"
"11","K011","P.S. 011 Purvis J. Behan","Elementary","419 WAVERLY AVENUE","NY","-73.96589","40.685896","Clinton Hill","718-638-2661","718-622-3028","SAMUELS, KAMAR"
"12","K012","Dr. Jacqueline Peek-Davis School","Elementary","430 HOWARD AVENUE","NY","-73.920095","40.673124","Ocean Hill","718-953-4569","718-953-4428","ELLIS, CLARENCE"
"13","K013","P.S. 013 Roberto Clemente","Elementary","557 PENNSYLVANIA AVENUE","NY","-73.893328","40.664067","East New York (Pennsylvania Ave)","718-498-3717","718-345-2396","THOMAS MCBRYDE JR"
"14","K014","J.H.S. 014 Shell Bank","Junior High-Intermediate-Middle","2424 BATCHELDER STREET","NY","-73.938107","40.593232","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","718-743-0220","718-769-8632","BOVE, JULIA"
"15","K015","P.S. 015 Patrick F. Daly","Elementary","71 SULLIVAN STREET","NY","-74.011864","40.677085","Carroll Gardens-Columbia Street-Red Hook","718-330-9280","718-596-2576","SKOP, ANITA"
"16","K016","P.S. 016 Leonard Dunkly","Elementary","157 WILSON STREET","NY","-73.962049","40.706069","Williamsburg","718-782-5352","718-486-8447","WINNICKI, ALICJA"
"17","K017","P.S. 017 Henry D. Woodworth","Elementary","208 NORTH  5 STREET","NY","-73.9573","40.715268","North Side-South Side","718-387-2929","718-302-2311","WINNICKI, ALICJA"
"18","K018","P.S. 018 Edward Bush","Elementary","101 MAUJER STREET","NY","-73.946695","40.71088","East Williamsburg","718-387-3241","718-599-7744","WINNICKI, ALICJA"
"19","K019","P.S. 019 Roberto Clemente","Elementary","325 SOUTH  3 STREET","NY","-73.954678","40.710107","North Side-South Side","718-387-7820","718-782-2446","WINNICKI, ALICJA"
"20","K020","P.S. 020 Clinton Hill","Elementary","225 ADELPHI STREET","NY","-73.970896","40.690742","Fort Greene","718-834-6744","718-243-0712","SAMUELS, KAMAR"
"21","K021","P.S. 021 Crispus Attucks","Elementary","180 CHAUNCEY STREET","NY","-73.926673","40.68035","Crown Heights North","718-493-9681","718-953-3980","MARTIN, YOLANDA"
"22","K022","P.S. 022","Elementary","443 ST MARKS AVENUE","NY","-73.960093","40.6771","Crown Heights North","718-857-4503","718-857-4464","SIMMONS, BUFFIE"
"23","K023","P.S. 023 Carter G. Woodson","Elementary","545 WILLOUGHBY AVENUE","NY","-73.947256","40.69447","Bedford","718-387-0375","718-302-2312","WINNICKI, ALICJA"
"24","K024","P.S. 024","Elementary","427 38 STREET","NY","-74.004533","40.652832","Sunset Park West","718-832-9366","718-832-9360","SKOP, ANITA"
"25","K025","P.S. 025 Eubie Blake School","Elementary","787 LAFAYETTE AVENUE","NY","-73.940749","40.691472","Stuyvesant Heights","718-574-2336","718-455-5838","MARTIN, YOLANDA"
"26","K026","P.S. 026 Jesse Owens","Elementary","1014 LAFAYETTE AVENUE","NY","-73.9317","40.6921","Stuyvesant Heights","718-919-5707","718-574-2803","MARTIN, YOLANDA"
"27","K026","P.S. 026 Jesse Owens","Elementary","1014 LAFAYETTE AVENUE","NY","-73.9317","40.6921","Stuyvesant Heights","718-919-5707","718-574-2803","MARTIN, YOLANDA"
"28","K027","Agnes Y. Humphrey School for Leadership","K-12 all grades","27 HUNTINGTON STREET","NY","-74.005151","40.677914","Carroll Gardens-Columbia Street-Red Hook","718-330-9285","718-596-4889","SKOP, ANITA"
"29","K028","P.S. 028 The Warren Prep Academy","Elementary","265 RALPH AVENUE","NY","-73.921099","40.680239","Stuyvesant Heights","718-467-2865","718-953-4189","MARTIN, YOLANDA"
"30","K029","P.S. 029 John M. Harrigan","Elementary","425 HENRY STREET","NY","-73.997447","40.686843","Carroll Gardens-Columbia Street-Red Hook","718-330-9277","718-596-1887","SKOP, ANITA"
"31","K030","P.S./I.S. 30 Mary White Ovington","K-8","7002 4TH AVENUE","NY","-74.02395","40.633598","Bay Ridge","718-491-8440","718-491-8445","COSTANTINO, KARINA"
"32","K031","P.S. 031 Samuel F. Dupont","Elementary","75 MESEROLE AVENUE","NY","-73.954139","40.72697","Greenpoint","718-383-8998","718-383-5652","WINNICKI, ALICJA"
"33","K032","P.S. 032 Samuel Mills Sprole","Elementary","317 HOYT STREET","NY","-73.991141","40.680159","Carroll Gardens-Columbia Street-Red Hook","718-222-6400","718-222-6405","SKOP, ANITA"
"34","K033","JHS 033 Mark Hopkins","Junior High-Intermediate-Middle","70 TOMPKINS AVENUE","NY","-73.9466","40.6971","Bedford","718-782-9500","718-387-3011","James Quail"
"35","K034","P.S. 034 Oliver H. Perry","Elementary","131 NORMAN AVENUE","NY","-73.949756","40.726378","Greenpoint","718-389-5842","718-389-0356","WINNICKI, ALICJA"
"36","K035","M.S. 035 Stephen Decatur","Junior High-Intermediate-Middle","272 MACDONOUGH STREET","NY","-73.935891","40.681528","Stuyvesant Heights","718-574-2345","718-452-1273","MARTIN, YOLANDA"
"37","K036","P.S. 36","K-12 all grades","2045 LINDEN BOULEVARD","NY","-73.887195","40.660465","East New York","718-272-6483","718-272-6287","LOUISSAINT, KETLER"
"38","K037","Beginning with Children Charter School II","K-8","215 HEYWARD STREET","NY","-73.953304","40.703996","Williamsburg","718-302-7700","NULL","NULL"
